districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,870,3695,23.545331529093367,4325,28583,15.13137179442326,367.68454034765807,1979.0021367957695,18.57928970925627
Ciutat_Vella,135,566,23.851590106007066,349,2374,14.700926705981466,29.191002625028997,121.06695157036005,24.111454237834813
Eixample,121,156,77.56410256410257,1264,4010,31.521197007481295,108.85799272302098,224.64177560734953,48.4584812547482
Sants_Montjuic,88,512,17.1875,322,4154,7.751564756860857,23.694585311354295,300.1012632172371,7.895530014547882
Les_Corts,87,241,36.09958506224066,363,1814,20.011025358324144,31.912044540152507,124.02458958115528,25.730417369590175
Sarria_Sant_Gervasi,148,578,25.60553633217993,698,3548,19.673055242390078,50.42121848052899,297.3283400630804,16.95809369192044
Gracia,229,357,64.14565826330532,949,1671,56.79233991621784,67.19337635742473,112.35069972633644,59.806816086676974
Horta_Guinardo,64,476,13.445378151260504,246,3010,8.172757475083056,20.500266839696916,238.89499886961826,8.58128756847076
Nou_Barris,34,356,9.550561797752808,135,2164,6.238447319778189,18.00347309101025,169.63296802504587,10.61319229429039
Sant_Andreu,36,325,11.076923076923077,156,2232,6.989247311827956,15.789840227574011,150.1099557177492,10.518849434119845
Sant_Marti,118,355,33.23943661971831,543,3932,13.809766022380469,52.236550232629696,257.00163872662773,20.325376325009987
