districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,490,3695,13.261163734776726,2091,28583,7.315537207430991,165.46861886373267,1979.0021367957695,8.361214765116184
Ciutat_Vella,75,566,13.250883392226148,172,2374,7.245155855096883,13.231699792228245,121.06695157036005,10.929241729968252
Eixample,83,156,53.205128205128204,560,4010,13.96508728179551,47.62260977762886,224.64177560734953,21.19935601865444
Sants_Montjuic,46,512,8.984375,203,4154,4.886856042368802,14.675800834863196,300.1012632172371,4.890282925680219
Les_Corts,56,241,23.236514522821576,233,1814,12.844542447629548,21.30641957105126,124.02458958115528,17.17918974213532
Sarria_Sant_Gervasi,131,578,22.664359861591695,561,3548,15.811724915445321,41.28936563114539,297.3283400630804,13.886791155658267
Gracia,169,357,47.33893557422969,639,1671,38.240574506283664,42.481127539087616,112.35069972633644,37.81118198868636
Horta_Guinardo,11,476,2.3109243697478994,52,3010,1.7275747508305648,4.149473161410082,238.89499886961826,1.7369443400004954
Nou_Barris,4,356,1.1235955056179776,19,2164,0.878003696857671,1.103747031093979,169.63296802504587,0.6506677587171696
Sant_Andreu,5,325,1.5384615384615385,15,2232,0.6720430107526881,0.8151310998480328,150.1099557177492,0.5430226769107298
Sant_Marti,31,355,8.732394366197182,122,3932,3.1027466937945065,11.639894598927853,257.00163872662773,4.529112987995065
