districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,895,3695,24.22192151556157,4424,28583,15.477731518734913,374.97461022969577,1979.0021367957695,18.947660705249287
Ciutat_Vella,135,566,23.851590106007066,349,2374,14.700926705981466,29.191002625028997,121.06695157036005,24.111454237834813
Eixample,124,156,79.48717948717949,1283,4010,31.995012468827934,110.70690717861254,224.64177560734953,49.28153139784503
Sants_Montjuic,88,512,17.1875,322,4154,7.751564756860857,23.694585311354295,300.1012632172371,7.895530014547882
Les_Corts,91,241,37.75933609958506,376,1814,20.727673649393605,33.20939272231046,124.02458958115528,26.776458470422877
Sarria_Sant_Gervasi,165,578,28.546712802768166,761,3548,21.44870349492672,54.489091115528005,297.3283400630804,18.32623526703433
Gracia,230,357,64.42577030812325,956,1671,57.21125074805505,67.47107869179949,112.35069972633644,60.0539906348117
Horta_Guinardo,64,476,13.445378151260504,246,3010,8.172757475083056,20.500266839696916,238.89499886961826,8.58128756847076
Nou_Barris,34,356,9.550561797752808,135,2164,6.238447319778189,18.00347309101025,169.63296802504587,10.61319229429039
Sant_Andreu,36,325,11.076923076923077,156,2232,6.989247311827956,15.789840227574011,150.1099557177492,10.518849434119845
Sant_Marti,118,355,33.23943661971831,543,3932,13.809766022380469,52.236550232629696,257.00163872662773,20.325376325009987
