districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,1200,3695,32.47631935047362,5444,28583,19.046286254067102,464.13485899357335,1979.0021367957695,23.45297412083954
Ciutat_Vella,254,566,44.87632508833922,579,2374,24.38921651221567,42.964730867472426,121.06695157036005,35.4884056385138
Eixample,136,156,87.17948717948718,1512,4010,37.70573566084788,129.2606910606451,224.64177560734953,57.54080723016513
Sants_Montjuic,88,512,17.1875,327,4154,7.871930669234473,23.80360460327344,300.1012632172371,7.93185751638856
Les_Corts,97,241,40.24896265560166,409,1814,22.54685777287762,35.832552297007275,124.02458958115528,28.891490323022033
Sarria_Sant_Gervasi,182,578,31.4878892733564,784,3548,22.096956031567082,59.25437758122848,297.3283400630804,19.92893700232451
Gracia,262,357,73.38935574229691,1063,1671,63.614602034709755,76.93620404078621,112.35069972633644,68.47861582365505
Horta_Guinardo,107,476,22.478991596638657,380,3010,12.624584717607974,33.53762530963555,238.89499886961826,14.03864688182082
Nou_Barris,46,356,12.921348314606742,185,2164,8.548983364140481,22.15025871058726,169.63296802504587,13.05775579386009
Sant_Andreu,84,325,25.846153846153847,285,2232,12.768817204301076,27.541970110687593,150.1099557177492,18.34786372362576
Sant_Marti,140,355,39.436619718309856,661,3932,16.810783316378433,63.234908731593706,257.00163872662773,24.604865963075273
