districts,number of mapped streets,total number of streets,percentage street,number of mapped segments ,total number of segments,percentage segments,mapped kms,total street length,percentage km
Barcelona,654,3695,17.69959404600812,2735,28583,9.568624706993667,236.7204079592407,1979.0021367957695,11.961604465092599
Ciutat_Vella,110,566,19.434628975265017,291,2374,12.257792754844145,21.82790741230159,121.06695157036005,18.029616777470395
Eixample,82,156,52.56410256410257,696,4010,17.356608478802993,59.76199733452524,224.64177560734953,26.603242951116535
Sants_Montjuic,48,512,9.375,226,4154,5.440539239287434,18.501419508801785,300.1012632172371,6.1650588572861125
Les_Corts,23,241,9.54356846473029,101,1814,5.567805953693495,9.515444132470764,124.02458958115528,7.672223842550471
Sarria_Sant_Gervasi,86,578,14.878892733564014,268,3548,7.5535512965050735,22.962653480410705,297.3283400630804,7.722995216513503
Gracia,190,357,53.221288515406165,687,1671,41.11310592459605,51.62154787128461,112.35069972633644,45.94679694654707
Horta_Guinardo,136,476,28.57142857142857,504,3010,16.74418604651163,42.01306336313099,238.89499886961826,17.586413931612046
Nou_Barris,38,356,10.674157303370785,131,2164,6.053604436229206,10.756260761209829,169.63296802504587,6.34090229419419
Sant_Andreu,43,325,13.230769230769232,179,2232,8.019713261648745,15.861011579391212,150.1099557177492,10.566262246599136
Sant_Marti,76,355,21.408450704225352,382,3932,9.715157680569684,35.56021507289758,257.00163872662773,13.836571334365274
